T,R1,R2,k1,k2
550.0,-1.6666666666666572,-3.0,227.63196519629759,43.73133651037912
551.0,-1.0,-3.0,540.3743005261972,-755.8519140197293
552.0,-1.3000000000000114,-3.0,304.8208459016873,-153.61622142126896
553.0,-1.4999999999999432,-3.0,252.6838333176431,-20.31836793141668
554.0,-1.5,-3.0,252.68383331763246,-20.318367931389467
555.0,-1.7857142857143344,-3.0000000000001137,215.12306918661432,75.7126278229658
556.0,-2.0,-3.0,199.26412003251775,116.25894561281495
557.0,-2.0,-3.0,199.26412003251775,116.25894561281495
558.0,-2.0,-3.0,199.26412003251775,116.25894561281495
559.0,-1.7857142857143344,-3.0,215.12306918661395,75.71262782297138
560.0,-1.5,-3.0,252.68383331763246,-20.318367931389467
561.0,-1.5,-3.0,252.68383331763246,-20.318367931389467
562.0,-2.5,-3.0000000000001137,179.08679598073104,167.84598238321954
563.0,-3.0,-3.0,169.11788573626868,193.3333333333334
564.0,-3.0,-3.0,169.11788573626868,193.3333333333334
565.0,-3.0,-2.7727272727273657,168.59011963262816,202.77865052572298
566.0,-3.0,-2.5000000000001137,167.78364040366893,217.21203697106054
567.0,-3.0000000000001137,-2.5,167.78364040366688,217.21203697107148
568.0,-2.499999999999858,-2.4999999999998863,177.5913118100973,193.33333333333147
569.0,-1.0,-2.5000000000001137,526.9840502030872,-657.3319578995014
570.0,-1.6666666666666288,-3.083333333333485,227.93582212360795,39.49146081647577
571.0,-2.0,-3.5000000000001137,200.44172082849346,97.91661717178715
572.0,-2.0,-3.4999999999998863,200.44172082849306,97.91661717179377
573.0,-2.0,-3.500000000000228,200.44172082849371,97.91661717178361
574.0,-1.6999999999999318,-3.4999999999998863,225.26131258282965,32.562345576190985
575.0,-2.6428571428573377,-3.500000000000228,176.49452560083563,160.9737180440353
576.0,-3.0,-3.4999999999998863,169.9653684389601,178.16611647956634
577.0,-3.0,-3.083333333333144,169.28554699874056,190.3327355420021
578.0,-2.9999999999998863,-2.5,167.78364040367012,217.21203697106353
579.0,-3.0,-2.5,167.78364040366853,217.21203697106745
580.0,-3.0,-2.5000000000001137,167.78364040366893,217.21203697106054
581.0,-2.5,-2.5,177.59131181009394,193.33333333333337
582.0,-1.5,-3.083333333333485,253.05830705515913,-25.120472261072912
583.0,-1.5,-3.5000000000001137,254.58046673110928,-44.64005090663542
584.0,-1.5000000000000568,-3.4999999999998863,254.58046673109777,-44.640050906598056
585.0,-1.5,-3.5000000000001137,254.58046673110928,-44.64005090663542
586.0,-1.5,-3.4999999999997726,254.5804667311082,-44.64005090662196
587.0,-1.3000000000000966,-3.500000000000228,307.58518258175195,-184.2106220037823
588.0,-1.0,-3.5,549.1230344899867,-820.2215012508588
589.0,-1.0,-2.954545454545155,539.3864116614978,-748.5834339500269
590.0,-1.0,-2.0,505.4679313204971,-499.0252020853892
591.0,-1.2999999999999543,-2.0,293.3918242527311,-27.125092785071388
592.0,-1.5000000000000568,-2.0,244.77943585375868,81.04452479233149
593.0,-1.5000000000000568,-2.599999999999909,250.42953877334736,8.589821099307445
594.0,-1.3000000000000966,-3.0,304.82084590165647,-153.6162214211903
595.0,-1.0,-3.0,540.3743005261972,-755.8519140197293
596.0,-1.0,-3.0,540.3743005261972,-755.8519140197293
597.0,-1.0,-3.0000000000001137,540.3743005261997,-755.8519140197471
598.0,-1.0,-3.0,540.3743005261972,-755.8519140197293
599.0,-1.0,-3.0,540.3743005261972,-755.8519140197293
600.0,-1.6666666666666288,-3.0,227.63196519630102,43.73133651037028
601.0,-2.0,-3.0,199.26412003251775,116.25894561281495
602.0,-2.0,-3.0,199.26412003251775,116.25894561281495
603.0,-2.0,-3.0,199.26412003251775,116.25894561281495
604.0,-1.6666666666666572,-3.0000000000001137,227.63196519629798,43.73133651037314
605.0,-1.0,-2.7727272727273657,535.0226628903108,-716.4767647628897
606.0,-1.6666666666666288,-2.5000000000001137,225.22128709673663,77.36879730724898
607.0,-2.0,-2.5,197.4144064454261,145.07011341451133
608.0,-2.0,-2.5,197.4144064454261,145.07011341451133
609.0,-2.0,-2.5000000000001137,197.41440644542664,145.07011341450306
610.0,-2.2777777777777146,-2.2777777777778283,183.5023225939538,193.33333333332362
611.0,-2.5,-2.0,175.07982628817024,236.13626910504996
612.0,-2.4999999999998863,-2.0,175.07982628817322,236.13626910504337
613.0,-2.5,-2.0,175.07982628817024,236.13626910504996
614.0,-2.5000000000001137,-2.2777777777777146,176.64296913998226,209.4958196562354
615.0,-4.166666666666515,-2.5000000000001137,157.7471047321215,241.64795564319502
616.0,-5.0,-2.5,154.59576031743566,249.32052298568038
617.0,-5.000000000000227,-2.5000000000001137,154.59576031743535,249.3205229856755
