t,T,R
0,769,-15
15,768,-15
30,767,-15
45,766,-15
60,765,-15
75,764,-15
90,763,-15
105,762,-15
120,761,-11.5
128,760,-8
136,759,-8
144,758,-8
152,757,-8
160,756,-8
168,755,-8
176,754,-8
184,753,-8
192,752,-8
200,751,-8
208,750,-8
216,749,-8
224,748,-8
232,747,-8
240,746,-8.285714286
248.5714286,745,-8.571428571
257.1428571,744,-8.571428571
265.7142857,743,-8.571428571
274.2857143,742,-8.571428571
282.8571429,741,-8.571428571
291.4285714,740,-8.571428571
300,739,-8.571428571
308.5714286,738,-8.571428571
317.1428571,737,-8.571428571
325.7142857,736,-8.571428571
334.2857143,735,-8.571428571
342.8571429,734,-8.571428571
351.4285714,733,-8.571428571
360,732,-8.571428571
368.5714286,731,-8.571428571
377.1428571,730,-8.571428571
385.7142857,729,-8.571428571
394.2857143,728,-8.571428571
402.8571429,727,-8.571428571
411.4285714,726,-8.571428571
420,725,-8.571428571
428.5714286,724,-8.571428571
437.1428571,723,-8.571428571
445.7142857,722,-8.571428571
454.2857143,721,-8.571428571
462.8571429,720,-8.571428571
471.4285714,719,-8.571428571
480,718,-8.571428571
488.5714286,717,-8.571428571
497.1428571,716,-8.571428571
505.7142857,715,-8.571428571
514.2857143,714,-8.571428571
522.8571429,713,-8.571428571
531.4285714,712,-8.571428571
540,711,-8.571428571
548.5714286,710,-8.571428571
557.1428571,709,-8.571428571
565.7142857,708,-8.571428571
574.2857143,707,-8.571428571
582.8571429,706,-8.571428571
591.4285714,705,-8.571428571
600,704,-9.285714286
610,703,-10
620,702,-10
630,701,-10
640,700,-10
650,699,-10
660,698,-10
670,697,-10
680,696,-10
690,695,-10
700,694,-10
710,693,-10
720,692,-9.615384615
729.2307692,691,-9.230769231
738.4615385,690,-9.230769231
747.6923077,689,-9.230769231
756.9230769,688,-9.230769231
766.1538462,687,-9.230769231
775.3846154,686,-9.230769231
784.6153846,685,-9.230769231
793.8461538,684,-9.230769231
803.0769231,683,-9.230769231
812.3076923,682,-9.230769231
821.5384615,681,-9.230769231
830.7692308,680,-9.230769231
840,679,-10.06993007
850.9090909,678,-10.90909091
861.8181818,677,-10.90909091
872.7272727,676,-10.90909091
883.6363636,675,-10.90909091
894.5454545,674,-10.90909091
905.4545455,673,-10.90909091
916.3636364,672,-10.90909091
927.2727273,671,-10.90909091
938.1818182,670,-10.90909091
949.0909091,669,-10.90909091
960,668,-10.90909091
970.9090909,667,-10.90909091
981.8181818,666,-10.90909091
992.7272727,665,-10.90909091
1003.636364,664,-10.90909091
1014.545455,663,-10.90909091
1025.454545,662,-10.90909091
1036.363636,661,-10.90909091
1047.272727,660,-10.90909091
1058.181818,659,-10.90909091
